"ts","x","y","z"
1.887199710E2,-5.080289841E-1,2.715593576E-1,4.692583159E-2
1.887300190E2,-4.786508679E-1,1.828654408E-1,7.351216674E-2
1.887400680E2,-4.406448007E-1,8.758160472E-2,9.179305285E-2
1.887501170E2,-4.112605453E-1,-2.464640141E-2,9.300319850E-2
1.887601650E2,-4.039818943E-1,-1.214880273E-1,8.220200241E-2
1.887702140E2,-4.051854014E-1,-1.970855892E-1,6.209966913E-2
1.887802620E2,-3.785499930E-1,-2.571485937E-1,4.155875742E-2
1.887903110E2,-3.247174025E-1,-2.996329367E-1,7.195454556E-3
1.888003590E2,-2.264203727E-1,-3.148939312E-1,-2.641481161E-2
1.888104080E2,-9.048810601E-2,-3.078930080E-1,-6.585649401E-2
1.888204560E2,4.781491309E-2,-2.208550274E-1,-1.144303158E-1
1.888305050E2,1.496033221E-1,-6.162409112E-2,-1.595024616E-1
1.888405530E2,2.107499689E-1,8.111806959E-2,-1.867118478E-1
1.888506020E2,2.330251783E-1,1.318803132E-1,-2.193744481E-1
1.888606500E2,1.706667393E-1,9.743365645E-2,-2.615791559E-1
1.888706990E2,1.200573444E-1,1.281225979E-1,-3.230451941E-1
1.888807470E2,1.841164380E-1,3.114838302E-1,-4.222057462E-1
1.888907960E2,3.066021502E-1,4.879901707E-1,-5.522356629E-1
1.889008440E2,3.863444626E-1,4.167285860E-1,-7.019278407E-1
1.889108930E2,3.949102461E-1,2.119123340E-1,-7.988224030E-1
1.889209410E2,2.869355679E-1,5.061687529E-2,-7.801946998E-1
1.889309900E2,1.149488613E-1,-1.767429709E-2,-6.546210647E-1
1.889410390E2,-5.629684776E-2,-2.681099251E-2,-4.645780325E-1
1.889510870E2,-2.130784690E-1,-2.446262864E-3,-2.247579992E-1
1.889611360E2,-3.693640232E-1,5.914370064E-3,-1.532836119E-3
1.889711840E2,-5.216867328E-1,-5.764836073E-2,1.657232642E-1
1.889812330E2,-6.447534561E-1,-1.913525164E-1,2.612668276E-1
1.889912810E2,-7.129095793E-1,-2.872904837E-1,3.111371994E-1
1.890013300E2,-6.893494129E-1,-2.597845793E-1,3.182976842E-1
1.890113780E2,-5.886832476E-1,-6.620260328E-2,2.896218300E-1
1.890214270E2,-4.516365826E-1,2.320704907E-1,2.537049949E-1
1.890314750E2,-2.634032965E-1,4.827312231E-1,1.890034974E-1
1.890415240E2,-3.939700499E-2,6.481716633E-1,5.447668582E-2
1.890515720E2,1.759264916E-1,7.249423265E-1,-7.863849401E-2
1.890616210E2,3.145653307E-1,7.005182505E-1,-1.329371035E-1
1.890716690E2,3.730992079E-1,5.128165483E-1,-9.191589057E-2
1.890817180E2,4.045628607E-1,1.817400455E-1,2.041346952E-2
1.890917660E2,4.345346093E-1,-1.351606697E-1,1.341488212E-1
1.891018150E2,4.379770458E-1,-3.390674293E-1,2.051986605E-1
1.891118640E2,4.249584377E-1,-4.234299958E-1,2.672159374E-1
1.891219120E2,4.070865214E-1,-4.582611918E-1,3.489987552E-1
1.891319610E2,3.834914565E-1,-4.743925035E-1,3.707914054E-1
1.891420090E2,3.584339321E-1,-4.691658616E-1,3.726117611E-1
1.891520580E2,3.392122984E-1,-4.373970330E-1,3.695171773E-1
1.891621060E2,3.266813755E-1,-3.551604152E-1,3.612822890E-1
1.891721550E2,3.135525286E-1,-2.320230454E-1,3.446710706E-1
1.891822030E2,3.114265501E-1,-8.597130328E-2,3.362733722E-1
1.891922520E2,3.201840818E-1,6.232415140E-2,3.352472484E-1
1.892023000E2,3.224069774E-1,1.676715761E-1,3.472985327E-1
1.892123490E2,3.304076493E-1,2.115104049E-1,3.607381880E-1
1.892223970E2,3.472678065E-1,2.142329514E-1,3.519933224E-1
1.892324460E2,3.644481301E-1,1.948699057E-1,3.264317513E-1
1.892424940E2,3.831888437E-1,1.452136636E-1,2.913110256E-1
1.892525430E2,4.024014175E-1,6.881823391E-2,2.407101542E-1
1.892625910E2,4.130389094E-1,-3.874549177E-3,1.862448752E-1
1.892726400E2,4.349894822E-1,-6.642527878E-2,1.357382983E-1
1.892826880E2,4.831439257E-1,-1.223048568E-1,9.787700325E-2
1.892927370E2,5.357682109E-1,-1.834060252E-1,6.694118679E-2
1.893027860E2,5.660328865E-1,-2.553912997E-1,5.218759924E-2
1.893128340E2,5.755044222E-1,-3.110598922E-1,4.803466797E-2
1.893228830E2,5.781679153E-1,-3.443320096E-1,4.377839714E-2
1.893329310E2,5.748419166E-1,-3.568523228E-1,3.964916617E-2
1.893429800E2,5.331456065E-1,-3.247963786E-1,4.611984268E-2
1.893530285E2,4.630586803E-1,-2.618650794E-1,8.354764432E-2
1.893630775E2,3.947424591E-1,-1.876425147E-1,1.576372087E-1
1.893731255E2,3.385657370E-1,-1.342991292E-1,2.407653779E-1
1.893831745E2,2.896477282E-1,-1.188088581E-1,3.209542334E-1
1.893932225E2,1.500126123E-1,-2.192979157E-1,4.312399924E-1
1.894032715E2,-6.991445273E-2,-3.105098903E-1,6.466079950E-1
